Old_name	New_name	Library_name	Population	Position in cluster	Sex
GR11	GR11	TSP37	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP37/TSP37.bam	2
IO01	IO01	TSP48	IO	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP48/TSP48.bam	1
IO02	IO02	TSP36	IO	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP36/TSP36.bam	2
IO03	IO03	TSP88	IO	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP88/TSP88.bam	2
IO04	IO04	TSP46	IO	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP46/TSP46.bam	1
IO05	IO05	TSP61	IO	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP61/TSP61.bam	2
IR01	IR01	IE01	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE01/IE01.bam	2
IR02	IR02	IE02	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE02/IE02.bam	1
IR03	IR03	IE03	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE03/IE03.bam	1
IR04	IR04	IE04	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE04/IE04.bam	1
IR05	IR05	IE05	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE05/IE05.bam	1
IR06	IR06	IE06	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE06/IE06.bam	2
IR07	IR07	IE07	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE07/IE07.bam	1
IR08	IR08	IE08	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE08/IE08.bam	1
IR09	IR09	IE09	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE09/IE09.bam	1
IR10	IR10	IE10	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IE10/IE10.bam	1
IR11	IR11	UK16	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK16/UK16.bam	2
IR12	IR12	UK17	IR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK17/UK17.bam	2
IS01	IS01	TSP31	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP31/TSP31.bam	2
IS02	IS02	TSP32	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP32/TSP32.bam	1
IS03	IS03	TSP33	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP33/TSP33.bam	2
