Old_name	New_name	Library_name	Population	Position in cluster	Sex
M031536D5	M031536	M031536D5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031536D5/M031536D5.bam	2
M031537E5	M031537	M031537E5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031537E5/M031537E5.bam	2
M031538D2	M031538	P3_M031538D2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M031538D2/M031538D2.bam	2
M031555E5	M031555	P2_M031555E5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M031555E5/M031555E5.bam	2
M031559A3	M031559	M031559A3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031559A3/M031559A3.bam	1
M031560B3	M031560	M031560B3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031560B3/M031560B3.bam	1
M031562C3	M031562	M031562C3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031562C3/M031562C3.bam	2
M031563D3	M031563	M031563D3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031563D3/M031563D3.bam	1
M031581G5	M031581	M031581G5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M031581G5/M031581G5.bam	1
M031598C6	M031598	P3_M031598C6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M031598C6/P3_M031598C6.bam	1
M031610H4	M031610	P3_M031610H4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M031610H4/P3_M031610H4.bam	2
M031650G5	M031650	P2_M031650G5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031650G5/P2_M031650G5.bam	2
M031653E6	M031653	P2_M031653E6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M031653E6/M031653E6.bam	1
M031654E5	M031654	P3_M031654E5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M031654E5/P3_M031654E5.bam	2
M031661B7	M031661	M031661B7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031661B7/M031661B7.bam	1
M031673E1	M031673	M031673E1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031673E1/M031673E1.bam	1
M031674F1	M031674	M031674F1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031674F1/M031674F1.bam	2
M031675G1	M031675	M031675G1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031675G1/M031675G1.bam	1
M031676H1	M031676	M031676H1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031676H1/M031676H1.bam	2
M031677A2	M031677	M031677A2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031677A2/M031677A2.bam	1
M031706C4	M031706	M031706C4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031706C4/M031706C4.bam	2
M031707D4	M031707	M031707D4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031707D4/M031707D4.bam	1
M031708E4	M031708	M031708E4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031708E4/M031708E4.bam	2
M031709F4	M031709	M031709F4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031709F4/M031709F4.bam	1
M031715D11	M031715	M031715D11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031715D11/M031715D11.bam	2
M031721E11	M031721	M031721E11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031721E11/M031721E11.bam	2
M031722F11	M031722	M031722F11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031722F11/M031722F11.bam	1
M031723G11	M031723	M031723G11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031723G11/M031723G11.bam	1
M031724H11	M031724	M031724H11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031724H11/M031724H11.bam	2
M031760B6	M031760	M031760B6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031768/M031768.bam	2
M031768	M031768	M031768	CH		2
M031770	M031770	M031770	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031770/M031770.bam	1
M031771	M031771	M031771	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031771/M031771.bam	1
M031772	M031772	M031772	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031772/M031772.bam	1
M031773	M031773	M031773	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031773/M031773.bam	2
M031800F5	M031800	P2_M031800F5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M031800F5/M031800F5.bam	1
M031882C6	M031882	M031882C6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031882C6/M031882C6.bam	1
M031888F7	M031888	P2_M031888F7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031888F7/P2_M031888F7.bam	2
M031889G7	M031889	P2_M031889G7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031889G7/P2_M031889G7.bam	1
M031890H7	M031890	P2_M031890H7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031890H7/P2_M031890H7.bam	1
M031891A8	M031891	P2_M031891A8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031891A8/P2_M031891A8.bam	2
M031892B8	M031892	P2_M031892B8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031892B8/P2_M031892B8.bam	2
M031893C8	M031893	P2_M031893C8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031893C8/P2_M031893C8.bam	2
M031894D8	M031894	P2_M031894D8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M031894D8/P2_M031894D8.bam	2
M031895B2	M031895	M031895B2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031895B2/M031895B2.bam	1
M031901A12	M031901	M031901A12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031901A12/M031901A12.bam	2
M031969	M031969	M031969	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M031969/M031969.bam	2
M032002H	M032002	M032002H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032002H/M032002H.bam	1
M032003E7	M032003	P2_M032003E7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M032003E7/P2_M032003E7.bam	1
M032015A4	M032015	M032015A4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032015A4/M032015A4.bam	2
M032022	M032022	M032022	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032022/M032022.bam	1
M032023	M032023	M032023	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032023/M032023.bam	2
M032024	M032024	M032024	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032024/M032024.bam	2
M032025C5	M032025	P3_M032025C5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M032025C5/M032025C5.bam	1
M032051B1	M032051	M032051B1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032051B1/M032051B1.bam	1
M032108B5	M032108	M032108B5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032108B5/M032108B5.bam	1
M032119A10	M032119	M032119A10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032119A10/M032119A10.bam	2
M032120B10	M032120	M032120B10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032120B10/M032120B10.bam	1
M032121C10	M032121	M032121C10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032121C10/M032121C10.bam	2
M032122D10	M032122	M032122D10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032122D10/M032122D10.bam	2
M032123E10	M032123	M032123E10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032123E10/M032123E10.bam	2
M032124H	M032124	M032124H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032124H/M032124H.bam	2
M032144B4	M032144	M032144B4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032144B4/M032144B4.bam	1
M032203H	M032203	M032203H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032203H/M032203H.bam	1
M032219H	M032219	M032219H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032219H/M032219H.bam	2
M032220H	M032220	M032220H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032220H/M032220H.bam	1
M032230H	M032230	M032230H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032230H/M032230H.bam	2
M032251H3	M032251	M032251H3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032251H3/M032251H3.bam	1
M032254	M032254	M032254	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032254/M032254.bam	1
M032314	M032314	M032314	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032314/M032314.bam	2
M032322H7	M032322	M032322H7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032322H7/M032322H7.bam	1
M032330H	M032330	M032330H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032330H/M032330H.bam	1
M032347E2	M032347	M032347E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032347E2/M032347E2.bam	2
M032352D6	M032352	P2_M032352D6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M032352D6/M032352D6.bam	2
M032400	M032400	M032400	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032400/M032400.bam	1
M032409H2	M032409	M032409H2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032409H2/M032409H2.bam	1
M032424C1	M032460	M032424C1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M032424C1/M032424C1.bam	2
M032441G4	M032441	P3_M032441G4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M032441G4/M032441G4.bam	1
M032444B9	M032444	P2_M032444B9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M032444B9/P2_M032444B9.bam	1
M032445C9	M032445	P2_M032445C9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M032445C9/P2_M032445C9.bam	1
M032446D9	M032446	P2_M032446D9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M032446D9/P2_M032446D9.bam	2
M032447E9	M032447	P2_M032447E9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M032447E9/P2_M032447E9.bam	1
M032460D1	M032424	M032460D1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M032460D1/M032460D1.bam	1
M032478A5	M032478	P3_M032478A5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M032478A5/M032478A5.bam	2
M032487H5	M032487	P2_M032487H5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M032487H5/M032487H5.bam	1
M033603H	M033603	M033603H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M033603H/M033603H.bam	1
M033660G11	M033660	M033660G11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M033660G11/M033660G11.bam	2
M034517F2	M034517	M034517F2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M034517F2/M034517F2.bam	1
M035431H5	M035431	M035431H5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M035431H5/M035431H5.bam	2
M037524C2	M037524	M037524C2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037524C2/M037524C2.bam	1
M037525D2	M037525	M037525D2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037525D2/M037525D2.bam	2
M037594	M037594	M037594	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M037594/M037594.bam	2
M037624F6	M037624	P2_M037624F6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037624F6/P2_M037624F6.bam	2
M037625G6	M037625	P2_M037625G6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037625G6/P2_M037625G6.bam	2
M037626H6	M037626	P2_M037626H6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037626H6/P2_M037626H6.bam	1
M037627A7	M037627	P2_M037627A7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037627A7/P2_M037627A7.bam	2
M037628B7	M037628	P2_M037628B7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037628B7/P2_M037628B7.bam	2
M037688E8	M037688	M037688E8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037688E8/M037688E8.bam	1
M037689F8	M037689	M037689F8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037689F8/M037689F8.bam	2
M037690G8	M037690	M037690G8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037690G8/M037690G8.bam	1
M037758A6	M037758	P2_M037758A6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037758A6/P2_M037758A6.bam	2
M037759B6	M037759	P2_M037759B6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037759B6/P2_M037759B6.bam	1
M037761C6	M037761	P2_M037761C6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M037761C6/P2_M037761C6.bam	2
M037925D6	M037925	M037925D6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037925D6/M037925D6.bam	1
M037926E6	M037926	M037926E6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037926E6/M037926E6.bam	1
M037929F6	M037929	M037929F6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037929F6/M037929F6.bam	2
M037930G6	M037930	M037930G6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M037930G6/M037930G6.bam	1
M037942E6	M037942	P3_M037942E6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M037942E6/P3_M037942E6.bam	1
M037944H6	M037944	P3_M037944H6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M037944H6/P3_M037944H6.bam	1
M038012	M038012	M038012	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M038012/M038012.bam	2
M038091F5	M038091	P3_M038091F5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038091F5/P3_M038091F5.bam	1
M038092G5	M038092	P3_M038092G5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038092G5/P3_M038092G5.bam	1
M038093H5	M038093	P3_M038093H5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038093H5/P3_M038093H5.bam	1
M038094A6	M038094	P3_M038094A6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038094A6/P3_M038094A6.bam	1
M038096B6	M038096	P3_M038096B6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038096B6/P3_M038096B6.bam	1
M038154C7	M038154	M038154C7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038154C7/M038154C7.bam	1
M038155D7	M038155	M038155D7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038155D7/M038155D7.bam	2
M038156E7	M038156	M038156E7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038156E7/M038156E7.bam	1
M038157F7	M038157	M038157F7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038157F7/M038157F7.bam	1
M038169	M038169	M038169	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038169/M038169.bam	2
M038183H6	M038183	M038183H6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038183H6/M038183H6.bam	1
M038200	M038200	M038200	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038200/M038200.bam	2
M038321	M038321	M038321	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M038321/M038321.bam	1
M038351H8	M038351	M038351H8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038351H8/M038351H8.bam	2
M038353A9	M038353	M038353A9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038353A9/M038353A9.bam	2
M038355B9	M038355	M038355B9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M038355B9/M038355B9.bam	2
M038472	M038472	M038472	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M038472/M038472.bam	1
M038481G6	M038481	P3_M038481G6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038481G6/P3_M038481G6.bam	1
M038482F6	M038482	P3_M038482F6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M038482F6/P3_M038482F6.bam	2
M040627	M040627	M040627	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M040627/M040627.bam	2
M040628	M040628	M040628	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M040628/M040628.bam	1
M040918	M040918	M040918	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M040918/M040918.bam	2
M040919	M040919	M040919	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M040919/M040919.bam	1
M040920	M040920	M040920	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M040920/M040920.bam	2
M043044	M043044	M043044	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043044/M043044.bam	2
M043617	M043617	M043617	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043617/M043617.bam	1
M043618	M043618	M043618	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043618/M043618.bam	1
M043619	M043619	M043619	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043619/M043619.bam	1
M043620	M043620	M043620	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043620/M043620.bam	1
M043762	M043762	M043762	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043762/M043762.bam	1
M043763	M043763	M043763	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043763/M043763.bam	1
M043764	M043764	M043764	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043764/M043764.bam	1
M043765	M043765	M043765	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043765/M043765.bam	2
M043766	M043766	M043766	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043766/M043766.bam	2
M043767	M043767	M043767	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M043767/M043767.bam	1
M047566	M047566	M047566	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M047566/M047566.bam	1
M047567	M047567	M047567	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M047567/M047567.bam	1
M047568	M047568	M047568	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M047568/M047568.bam	1
M047588	M047588	M047588	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M047588/M047588.bam	1
M031538A8	M031538B	M031538A8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031538A8/M031538A8.bam	2
M031598D8	M031598B	M031598D8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031598D8/M031598D8.bam	1
M031610C8	M031610B	M031610C8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031610C8/M031610C8.bam	2
M032003bD5	M032003B	P3_M032003bD5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M032003bD5/P3_M032003bD5.bam	1
